"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"1","1","2018-10-17","@","HOU","W","131","112","52","98",".531","10","25",".400","17","22",".773","14","54","36","8","3","12","25","","39","92",".424","16","48",".333","18","24",".750","8","37","21","8","7","11","22","127.2","108.8","103.0",".224",".255",".608","59.3","69.2","7.8","6.8","",".582","10.0","32.6",".173","",".511","9.7","83.3",".196"
"2","2","2018-10-19","","SAC","W","149","129","56","95",".589","16","31",".516","21","33",".636","12","52","35","6","4","16","25","","50","96",".521","10","25",".400","19","26",".731","9","39","24","6","2","13","26","133.9","115.9","111.3",".347",".326",".680","57.1","62.5","5.4","5.6","",".674","12.7","28.6",".221","",".573","10.8","81.6",".198"
"3","3","2018-10-23","","LAC","W","116","109","40","93",".430","6","24",".250","30","40",".750","12","48","22","12","8","8","24","","41","87",".471","5","20",".250","22","27",".815","9","47","18","5","4","16","26","111.9","105.1","103.7",".430",".258",".524","50.5","55.0","11.6","11.9","",".462","6.7","24.0",".323","",".500","13.9","80.0",".253"
"4","4","2018-10-26","","BRK","W","117","115","44","98",".449","9","23",".391","20","26",".769","15","46","23","11","11","11","20","","43","98",".439","19","40",".475","10","15",".667","16","54","26","6","8","18","22","114.1","112.2","102.5",".265",".235",".535","46.0","52.3","10.7","19.0","",".495","9.1","28.3",".204","",".536","14.7","66.0",".102"
"5","5","2018-10-27","","UTA","L","111","132","40","95",".421","9","34",".265","22","29",".759","11","40","22","4","5","16","32","","46","88",".523","10","32",".313","30","37",".811","6","43","32","7","7","13","26","102.2","121.5","108.6",".305",".358",".515","48.2","55.0","3.7","8.9","",".468","12.9","22.9",".232","",".580","11.1","82.9",".341"
"6","6","2018-10-29","@","DEN","L","111","116","43","82",".524","11","24",".458","14","20",".700","7","44","28","8","5","22","25","","42","93",".452","11","35",".314","21","23",".913","9","41","28","14","5","13","17","106.2","111.0","104.5",".244",".293",".611","51.8","65.1","7.7","8.6","",".591","19.5","17.9",".171","",".511","11.2","80.4",".226"
"7","7","2018-10-31","@","GSW","L","121","131","44","92",".478","12","35",".343","21","27",".778","12","42","24","8","2","15","26","","47","89",".528","16","32",".500","21","30",".700","12","46","39","10","4","17","24","115.5","125.0","104.8",".293",".380",".582","47.7","54.5","7.6","3.5","",".543","12.6","26.1",".228","",".618","14.3","71.4",".236"
"8","8","2018-11-01","@","POR","L","119","132","40","94",".426","8","29",".276","31","37",".838","14","44","23","7","3","12","24","","44","87",".506","18","35",".514","26","31",".839","8","46","26","4","4","14","30","113.9","126.3","104.5",".394",".309",".540","48.9","57.5","6.7","5.8","",".468","9.8","26.9",".330","",".609","12.2","78.9",".299"
"9","9","2018-11-03","@","SAS","L","95","109","36","77",".468","6","21",".286","17","30",".567","6","48","22","3","8","16","21","","45","96",".469","8","23",".348","11","14",".786","8","43","29","8","4","9","21","94.8","108.8","100.2",".390",".273",".527","52.7","61.1","3.0","11.0","",".506","15.1","14.6",".221","",".510","8.1","84.0",".115"
"10","10","2018-11-05","@","OKC","L","116","122","41","84",".488","9","29",".310","25","30",".833","11","45","27","8","5","20","26","","45","93",".484","10","27",".370","22","31",".710","9","41","26","15","3","12","23","110.0","115.7","105.4",".357",".345",".597","52.3","65.9","7.6","7.6","",".542","17.1","25.6",".298","",".538","10.1","79.1",".237"
"11","11","2018-11-07","","CHI","W","107","98","42","94",".447","11","30",".367","12","17",".706","11","55","32","5","10","15","18","","38","96",".396","9","31",".290","13","17",".765","7","46","18","9","7","11","16","102.5","93.9","104.4",".181",".319",".527","54.5","76.2","4.8","15.4","",".505","12.9","22.0",".128","",".443","9.6","86.3",".135"
"12","12","2018-11-10","","PHO","W","119","99","42","86",".488","11","25",".440","24","29",".828","16","54","28","7","7","18","18","","35","86",".407","10","36",".278","19","20",".950","10","37","16","10","7","14","27","122.2","101.7","97.4",".337",".291",".602","59.3","66.7","7.2","14.0","",".552","15.4","37.2",".279","",".465","12.9","79.2",".221"
"13","13","2018-11-12","@","TOR","W","126","110","54","99",".545","10","27",".370","8","13",".615","14","54","30","2","4","13","20","","39","97",".402","13","45",".289","19","22",".864","13","43","22","9","5","10","20","124.5","108.7","101.2",".131",".273",".602","55.7","55.6","2.0","7.7","",".596","11.0","31.8",".081","",".469","8.6","75.5",".196"
"14","14","2018-11-14","@","MIN","L","100","107","40","94",".426","9","28",".321","11","18",".611","10","46","25","7","6","18","21","","37","90",".411","14","32",".438","19","24",".792","11","47","29","14","6","15","22","96.2","102.9","104.0",".191",".298",".491","49.5","62.5","6.7","10.3","",".473","15.0","21.7",".117","",".489","13.0","76.6",".211"
"15","15","2018-11-16","","NYK","W","129","124","48","99",".485","10","34",".294","23","32",".719","11","54","27","5","5","15","25","","48","98",".490","11","34",".324","17","24",".708","12","44","15","10","6","13","31","116.3","111.8","110.9",".323",".343",".570","55.1","56.3","4.5","7.8","",".535","11.7","25.6",".232","",".546","10.7","78.2",".173"
"16","16","2018-11-17","","DEN","W","125","115","42","87",".483","10","25",".400","31","34",".912","10","46","29","6","8","11","18","","46","95",".484","15","39",".385","8","13",".615","10","43","30","5","6","13","23","123.6","113.7","101.1",".391",".287",".613","51.7","69.0","5.9","14.3","",".540","9.7","23.3",".356","",".563","11.4","78.3",".084"
"17","17","2018-11-19","","SAS","W","140","126","59","102",".578","10","26",".385","12","14",".857","14","42","34","10","5","10","23","","45","94",".479","12","24",".500","24","30",".800","18","44","22","7","0","15","20","138.6","124.8","101.0",".137",".255",".647","48.8","57.6","9.9","7.1","",".627","8.5","35.0",".118","",".543","12.3","60.9",".255"
"18","18","2018-11-21","@","PHI","L","120","121","42","98",".429","11","30",".367","25","33",".758","20","54","24","8","8","15","21","","44","98",".449","10","29",".345","23","26",".885","11","47","27","7","7","16","26","111.6","112.5","107.5",".337",".306",".533","53.5","57.1","7.4","11.6","",".485","11.8","35.7",".255","",".500","12.8","75.6",".235"
"19","19","2018-11-23","@","NYK","L","109","114","40","101",".396","7","28",".250","22","29",".759","20","55","26","5","5","14","22","","41","91",".451","12","33",".364","20","27",".741","12","46","22","9","10","8","26","109.8","114.8","99.3",".287",".277",".479","54.5","65.0","5.0","8.6","",".431","11.0","37.0",".218","",".516","7.2","74.5",".220"
"20","20","2018-11-24","@","WAS","L","114","124","43","90",".478","11","31",".355","17","21",".810","7","43","23","10","3","16","21","","51","90",".567","10","29",".345","12","23",".522","5","45","30","12","9","14","16","106.0","115.3","107.5",".233",".344",".574","48.9","53.5","9.3","4.9","",".539","13.9","14.9",".189","",".622","12.3","87.8",".133"
"21","21","2018-11-26","","BOS","L","107","124","34","77",".442","12","32",".375","27","29",".931","9","40","21","8","5","22","20","","48","97",".495","19","39",".487","9","10",".900","14","42","27","14","4","13","25","108.6","125.8","98.5",".377",".416",".596","48.8","61.8","8.1","8.6","",".519","19.7","24.3",".351","",".593","11.4","68.9",".093"
"22","22","2018-11-28","","WAS","W","125","104","46","95",".484","11","36",".306","22","28",".786","17","64","24","10","5","20","20","","41","95",".432","13","39",".333","9","16",".563","12","38","26","12","2","16","22","118.4","98.5","105.6",".295",".379",".582","62.7","52.2","9.5","8.9","",".542","15.7","39.5",".232","",".500","13.6","79.7",".095"
"23","23","2018-11-30","@","MIA","L","101","106","35","82",".427","6","28",".214","25","29",".862","11","46","25","4","8","16","22","","40","93",".430","11","33",".333","15","24",".625","13","46","22","10","4","10","24","104.0","109.1","97.1",".354",".341",".533","50.0","71.4","4.1","13.3","",".463","14.4","25.0",".305","",".489","8.8","72.9",".161"
