"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"16","16","2018-11-19","@","MEM","L","88","98","30","88",".341","10","32",".313","18","21",".857","7","43","17","8","4","9","19","","37","79",".468","12","30",".400","12","14",".857","5","45","29","8","11","15","21","92.5","103.0","95.1",".239",".364",".452","48.9","56.7","8.4","8.2","",".398","8.5","14.9",".205","",".544","15.0","87.8",".152"
"17","17","2018-11-21","","BRK","W","119","113","38","78",".487","11","27",".407","32","41",".780","8","45","21","10","3","13","20","","42","94",".447","14","42",".333","15","21",".714","16","42","23","8","2","14","31","120.9","114.8","98.5",".526",".346",".620","51.7","55.3","10.2","5.8","",".558","11.9","23.5",".410","",".521","11.9","69.8",".160"
"18","18","2018-11-24","","BOS","W","113","104","42","87",".483","16","41",".390","13","21",".619","13","43","27","12","3","16","16","","41","86",".477","10","28",".357","12","13",".923","9","42","19","8","3","17","21","116.0","106.7","97.4",".241",".471",".587","50.6","64.3","12.3","5.2","",".575","14.3","28.3",".149","",".535","15.6","76.9",".140"
"19","19","2018-11-28","@","HOU","W","128","108","46","85",".541","17","34",".500","19","24",".792","10","37","27","10","7","14","17","","40","87",".460","13","45",".289","15","23",".652","15","38","28","10","5","16","26","134.6","113.6","95.1",".282",".400",".670","49.3","58.7","10.5","16.7","",".641","12.8","30.3",".224","",".534","14.1","64.3",".172"
"20","20","2018-11-30","@","LAL","L","103","114","34","86",".395","10","39",".256","25","34",".735","9","46","20","9","4","16","25","","42","86",".488","9","30",".300","21","32",".656","9","47","23","8","3","17","29","97.4","107.8","105.8",".395",".453",".510","49.5","58.8","8.5","7.1","",".453","13.7","19.1",".291","",".541","14.5","80.4",".244"
"21","21","2018-12-02","","LAC","W","114","110","42","95",".442","8","23",".348","22","26",".846","17","64","20","6","5","16","21","","42","95",".442","9","24",".375","17","22",".773","8","44","23","9","5","10","22","109.2","105.4","104.4",".274",".242",".536","59.3","47.6","5.7","7.0","",".484","13.1","32.1",".232","",".489","8.7","85.5",".179"
"22","22","2018-12-04","","POR","W","111","102","38","88",".432","11","30",".367","24","35",".686","15","50","25","11","4","13","19","","38","84",".452","7","24",".292","19","23",".826","11","48","20","7","6","18","29","111.6","102.5","99.5",".398",".341",".537","51.0","65.8","11.1","6.7","",".494","11.2","28.8",".273","",".494","16.1","76.1",".226"
"23","23","2018-12-05","@","NOP","L","106","132","39","91",".429","14","46",".304","14","21",".667","11","45","26","7","4","18","17","","51","92",".554","17","29",".586","13","20",".650","5","46","36","12","6","11","15","100.5","125.1","105.5",".231",".505",".529","49.5","66.7","6.6","6.3","",".505","15.2","21.2",".154","",".647","9.8","87.2",".141"
"24","24","2018-12-08","","HOU","W","107","104","41","83",".494","12","30",".400","13","16",".813","14","44","21","9","3","15","14","","39","86",".453","15","47",".319","11","13",".846","10","36","20","5","3","12","19","119.4","116.0","89.6",".193",".361",".594","55.0","51.2","10.0","7.7","",".566","14.3","35.0",".157","",".541","11.6","75.0",".128"
"25","25","2018-12-10","","ORL","W","101","76","35","82",".427","10","35",".286","21","25",".840","9","52","28","7","4","12","11","","32","89",".360","8","28",".286","4","5",".800","7","42","18","8","2","15","18","105.7","79.5","95.6",".305",".427",".543","55.3","80.0","7.3","6.6","",".488","11.4","20.5",".256","",".404","14.1","86.0",".045"
