"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"1","1","2018-10-17","","MIA","W","104","101","39","94",".415","7","25",".280","19","31",".613","14","51","20","7","7","12","25","","38","97",".392","9","33",".273","16","22",".727","14","52","16","4","5","16","28","100.5","97.6","103.5",".330",".266",".483","49.5","51.3","6.8","10.9","",".452","10.0","26.9",".202","",".438","13.0","72.5",".165"
"2","2","2018-10-19","","CHO","L","88","120","36","94",".383","6","31",".194","10","14",".714","12","44","18","8","7","15","16","","43","92",".467","17","38",".447","17","20",".850","12","55","32","6","4","15","17","87.2","119.0","100.9",".149",".330",".439","44.4","50.0","7.9","13.0","",".415","13.0","21.8",".106","",".560","13.0","72.7",".185"
"3","3","2018-10-20","@","PHI","L","115","116","41","90",".456","16","29",".552","17","22",".773","14","49","31","7","7","14","15","","45","94",".479","17","33",".515","9","10",".900","13","46","33","8","3","10","21","120.4","121.5","95.5",".244",".322",".577","51.6","75.6","7.3","11.5","",".544","12.3","29.8",".189","",".569","9.2","72.9",".096"
"4","4","2018-10-22","@","BOS","W","93","90","38","93",".409","10","35",".286","7","10",".700","8","49","28","6","2","9","15","","37","91",".407","9","40",".225","7","9",".778","9","51","21","6","3","12","15","96.5","93.4","96.4",".108",".376",".477","49.0","73.7","6.2","3.9","",".462","8.5","16.0",".075","",".456","11.2","82.0",".077"
"5","5","2018-10-25","","POR","L","114","128","43","86",".500","12","30",".400","16","20",".800","11","40","29","5","7","14","21","","48","87",".552","11","27",".407","21","26",".808","12","44","24","6","6","10","22","119.1","133.7","95.7",".233",".349",".601","47.6","67.4","5.2","11.7","",".570","12.9","25.6",".186","",".615","9.2","70.7",".241"
"6","6","2018-10-27","@","MIL","L","91","113","33","101",".327","10","43",".233","15","17",".882","11","41","21","9","6","11","22","","41","82",".500","10","30",".333","21","23",".913","6","57","24","6","7","21","19","86.3","107.2","105.4",".168",".426",".419","41.8","63.6","8.5","11.5","",".376","9.2","17.7",".149","",".561","18.6","83.3",".256"
"7","7","2018-10-30","","SAC","L","99","107","36","91",".396","11","43",".256","16","22",".727","11","48","28","10","8","16","22","","41","84",".488","8","22",".364","17","26",".654","8","51","22","8","6","15","20","96.6","104.4","102.5",".242",".473",".492","48.5","77.8","9.8","12.9","",".456","13.7","20.4",".176","",".536","13.6","82.2",".202"
"8","8","2018-11-02","","LAC","L","95","120","40","90",".444","4","17",".235","11","19",".579","8","40","20","7","4","10","24","","41","86",".477","13","26",".500","25","33",".758","10","50","22","5","3","13","23","95.3","120.3","99.7",".211",".189",".483","44.4","50.0","7.0","6.7","",".467","9.2","16.7",".122","",".552","11.5","76.2",".291"
"9","9","2018-11-04","@","SAS","W","117","110","46","91",".505","12","32",".375","13","18",".722","11","43","29","7","4","8","22","","38","88",".432","12","35",".343","22","25",".880","10","43","25","3","5","11","21","122.9","115.5","95.2",".198",".352",".591","50.0","63.0","7.4","7.5","",".571","7.5","25.0",".143","",".500","10.0","76.2",".250"
"10","10","2018-11-05","","CLE","W","102","100","39","87",".448","11","34",".324","13","15",".867","10","40","22","11","5","15","16","","41","80",".513","10","23",".435","8","12",".667","8","42","20","8","2","18","17","107.2","105.1","95.2",".172",".391",".545","48.8","56.4","11.6","8.8","",".511","13.8","22.7",".149","",".575","17.4","78.9",".100"
