Rk,G,Date, ,Opp
1,1,2018-10-17,@,SAC
2,2,2018-10-19,,GSW
3,3,2018-10-22,,MEM
4,4,2018-10-24,@,HOU
5,5,2018-10-27,@,NOP
6,6,2018-10-28,@,DAL
7,7,2018-10-31,@,MIN
8,8,2018-11-02,,MEM
9,9,2018-11-03,@,DEN
10,10,2018-11-05,,TOR
11,11,2018-11-07,,DAL
12,12,2018-11-09,,BOS
13,13,2018-11-12,@,MEM
14,14,2018-11-14,@,DAL
15,15,2018-11-16,@,PHI
16,16,2018-11-17,@,BOS
17,17,2018-11-19,@,IND
18,18,2018-11-21,,SAC
19,19,2018-11-23,@,LAL
20,20,2018-11-25,@,SAC
21,21,2018-11-26,,IND
22,22,2018-11-28,@,BRK
23,23,2018-11-30,@,CHO
24,24,2018-12-02,@,MIA
25,25,2018-12-04,,SAS
26,26,2018-12-06,,HOU
27,27,2018-12-09,@,SAS
28,28,2018-12-10,@,OKC
29,29,2018-12-12,,MIA
30,30,2018-12-15,@,ORL
31,31,2018-12-17,@,HOU
32,32,2018-12-19,,GSW
33,33,2018-12-21,@,POR
34,34,2018-12-22,,OKC
35,35,2018-12-25,,POR
36,36,2018-12-27,,PHI
37,37,2018-12-29,,NYK
38,38,2019-01-01,@,TOR
39,39,2019-01-04,@,CLE
40,40,2019-01-05,@,DET
41,41,2019-01-07,@,MIL
42,42,2019-01-09,,ORL
43,43,2019-01-11,,LAL
44,44,2019-01-12,,CHI
45,45,2019-01-14,,DET
46,46,2019-01-16,@,LAC
47,47,2019-01-18,,CLE
48,48,2019-01-21,,POR
49,49,2019-01-23,,DEN
50,50,2019-01-25,,MIN
51,51,2019-01-27,@,MIN
52,52,2019-01-30,@,POR
53,53,2019-02-01,,ATL
54,54,2019-02-02,,HOU
55,55,2019-02-06,,PHO
56,56,2019-02-09,,SAS
57,57,2019-02-12,@,GSW
58,58,2019-02-22,@,OKC
59,59,2019-02-23,,DAL
60,60,2019-02-27,,LAC
61,61,2019-02-28,@,DEN
62,62,2019-03-02,,MIL
63,63,2019-03-04,,NOP
64,64,2019-03-06,@,NOP
65,65,2019-03-08,@,MEM
66,66,2019-03-11,,OKC
67,67,2019-03-13,@,PHO
68,68,2019-03-14,,MIN
69,69,2019-03-16,,BRK
70,70,2019-03-18,@,WAS
71,71,2019-03-20,@,NYK
72,72,2019-03-21,@,ATL
73,73,2019-03-23,@,CHI
74,74,2019-03-25,,PHO
75,75,2019-03-27,,LAL
76,76,2019-03-29,,WAS
77,77,2019-04-01,,CHO
78,78,2019-04-03,@,PHO
79,79,2019-04-05,,SAC
80,80,2019-04-07,@,LAL
81,81,2019-04-09,,DEN
82,82,2019-04-10,@,LAC
