Rk,G,Date, ,Opp
1,1,2018-10-17,@,HOU
2,2,2018-10-19,,SAC
3,3,2018-10-23,,LAC
4,4,2018-10-26,,BRK
5,5,2018-10-27,,UTA
6,6,2018-10-29,@,DEN
7,7,2018-10-31,@,GSW
8,8,2018-11-01,@,POR
9,9,2018-11-03,@,SAS
10,10,2018-11-05,@,OKC
11,11,2018-11-07,,CHI
12,12,2018-11-10,,PHO
13,13,2018-11-12,@,TOR
14,14,2018-11-14,@,MIN
15,15,2018-11-16,,NYK
16,16,2018-11-17,,DEN
17,17,2018-11-19,,SAS
18,18,2018-11-21,@,PHI
19,19,2018-11-23,@,NYK
20,20,2018-11-24,@,WAS
21,21,2018-11-26,,BOS
22,22,2018-11-28,,WAS
23,23,2018-11-30,@,MIA
24,24,2018-12-02,@,CHO
25,25,2018-12-03,,LAC
26,26,2018-12-05,,DAL
27,27,2018-12-07,,MEM
28,28,2018-12-09,@,DET
29,29,2018-12-10,@,BOS
30,30,2018-12-12,,OKC
31,31,2018-12-16,,MIA
32,32,2018-12-19,@,MIL
33,33,2018-12-21,@,LAL
34,34,2018-12-23,@,SAC
35,35,2018-12-26,@,DAL
36,36,2018-12-28,,DAL
37,37,2018-12-29,,HOU
38,38,2018-12-31,,MIN
39,39,2019-01-02,@,BRK
40,40,2019-01-05,@,CLE
41,41,2019-01-07,,MEM
42,42,2019-01-09,,CLE
43,43,2019-01-12,@,MIN
44,44,2019-01-14,@,LAC
45,45,2019-01-16,@,GSW
46,46,2019-01-18,@,POR
47,47,2019-01-21,@,MEM
48,48,2019-01-23,,DET
49,49,2019-01-24,@,OKC
50,50,2019-01-26,,SAS
51,51,2019-01-29,@,HOU
52,52,2019-01-30,,DEN
53,53,2019-02-02,@,SAS
54,54,2019-02-04,,IND
55,55,2019-02-06,@,CHI
56,56,2019-02-08,,MIN
57,57,2019-02-09,@,MEM
58,58,2019-02-12,,ORL
59,59,2019-02-14,,OKC
60,60,2019-02-22,@,IND
61,61,2019-02-23,,LAL
62,62,2019-02-25,,PHI
63,63,2019-02-27,@,LAL
64,64,2019-03-01,@,PHO
65,65,2019-03-02,@,DEN
66,66,2019-03-04,@,UTA
67,67,2019-03-06,,UTA
68,68,2019-03-08,,TOR
69,69,2019-03-10,@,ATL
70,70,2019-03-12,,MIL
71,71,2019-03-15,,POR
72,72,2019-03-16,,PHO
73,73,2019-03-18,@,DAL
74,74,2019-03-20,@,ORL
75,75,2019-03-24,,HOU
76,76,2019-03-26,,ATL
77,77,2019-03-28,,SAC
78,78,2019-03-31,,LAL
79,79,2019-04-03,,CHO
80,80,2019-04-05,@,PHO
81,81,2019-04-07,@,SAC
82,82,2019-04-09,,GSW
