"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"1","1","2018-10-17","","DAL","W","121","100","44","81",".543","19","34",".559","14","16",".875","6","44","35","5","2","11","22","","38","88",".432","10","33",".303","14","20",".700","10","38","28","7","5","9","16","130.6","108.0","92.6",".198",".420",".687","53.7","79.5","5.4","3.6","",".660","11.1","17.6",".173","",".489","8.5","79.2",".159"
"2","2","2018-10-20","@","DEN","L","91","119","29","77",".377","11","39",".282","22","35",".629","10","40","20","6","4","19","26","","43","85",".506","9","28",".321","24","29",".828","9","54","28","12","6","18","31","88.8","116.2","102.4",".455",".506",".492","42.6","69.0","5.9","7.0","",".448","17.1","18.2",".286","",".559","15.5","76.9",".282"
"3","3","2018-10-22","@","GSW","L","103","123","39","86",".453","9","34",".265","16","18",".889","12","45","24","8","1","21","21","","45","88",".511","14","37",".378","19","26",".731","7","40","35","12","4","14","24","100.4","119.9","102.6",".209",".395",".548","52.9","61.5","7.8","2.0","",".506","18.3","26.7",".186","",".591","12.3","82.5",".216"
"4","4","2018-10-24","","LAL","L","113","131","44","84",".524","10","31",".323","15","21",".714","9","44","27","4","4","19","23","","52","100",".520","10","28",".357","17","23",".739","11","43","34","13","5","8","19","109.2","126.6","103.5",".250",".369",".606","50.6","61.4","3.9","5.6","",".583","16.9","22.0",".179","",".570","6.8","76.1",".170"
"5","5","2018-10-27","@","MEM","L","96","117","36","78",".462","9","33",".273","15","19",".789","5","35","28","5","1","19","25","","44","79",".557","9","26",".346","20","22",".909","3","39","30","12","1","12","21","98.2","119.7","97.8",".244",".423",".556","47.3","77.8","5.1","1.9","",".519","18.0","12.2",".192","",".614","11.9","90.9",".253"
"6","6","2018-10-28","@","OKC","L","110","117","38","86",".442","8","27",".296","26","27",".963","10","44","21","10","3","22","32","","43","85",".506","7","24",".292","24","35",".686","9","43","22","16","3","15","24","103.9","110.5","105.9",".314",".314",".562","50.6","55.3","9.4","4.9","",".488","18.4","22.7",".302","",".547","13.0","79.1",".282"
"7","7","2018-10-31","","SAS","L","90","120","35","90",".389","6","24",".250","14","18",".778","7","35","21","10","3","15","26","","46","83",".554","4","18",".222","24","26",".923","6","47","24","7","6","14","15","88.2","117.6","102.0",".200",".267",".460","42.7","60.0","9.8","4.6","",".422","13.3","14.6",".156","",".578","12.9","82.4",".289"
"8","8","2018-11-02","","TOR","L","98","107","40","91",".440","8","26",".308","10","18",".556","12","49","20","3","4","15","18","","41","81",".506","12","33",".364","13","21",".619","6","39","29","11","10","13","23","100.5","109.7","97.5",".198",".286",".495","55.7","50.0","3.1","8.3","",".484","13.2","26.7",".110","",".580","12.6","86.0",".160"
"9","9","2018-11-04","","MEM","W","102","100","33","64",".516","14","32",".438","22","26",".846","5","37","25","7","3","24","27","","36","76",".474","7","23",".304","21","29",".724","9","30","19","13","3","13","21","111.3","109.2","91.6",".406",".500",".676","55.2","75.8","7.6","5.7","",".625","24.1","19.2",".344","",".520","12.8","78.0",".276"
"10","10","2018-11-06","","BRK","L","82","104","28","81",".346","9","25",".360","17","20",".850","9","49","16","4","3","20","20","","41","92",".446","9","36",".250","13","19",".684","13","52","22","9","5","10","22","84.3","106.9","97.3",".247",".309",".457","48.5","57.1","4.1","5.4","",".401","18.2","18.8",".210","",".495","9.1","75.5",".141"
