Rk,G,Date, ,Opp
1,1,2018-10-17,,DEN
2,2,2018-10-19,,OKC
3,3,2018-10-21,,HOU
4,4,2018-10-23,@,NOP
5,5,2018-10-26,@,HOU
6,6,2018-10-28,,WAS
7,7,2018-10-30,@,OKC
8,8,2018-11-01,@,PHI
9,9,2018-11-02,@,ORL
10,10,2018-11-05,,MIN
11,11,2018-11-08,@,POR
12,12,2018-11-10,,MIL
13,13,2018-11-12,,GSW
14,14,2018-11-15,,SAS
15,15,2018-11-17,@,BRK
16,16,2018-11-19,@,ATL
17,17,2018-11-20,@,WAS
18,18,2018-11-23,,MEM
19,19,2018-11-25,@,POR
20,20,2018-11-28,,PHO
21,21,2018-11-29,@,SAC
22,22,2018-12-02,@,DAL
23,23,2018-12-03,@,NOP
24,24,2018-12-05,@,MEM
25,25,2018-12-08,,MIA
26,26,2018-12-10,@,PHO
27,27,2018-12-11,,TOR
28,28,2018-12-13,@,SAS
29,29,2018-12-15,@,OKC
30,30,2018-12-17,,POR
31,31,2018-12-20,,DAL
32,32,2018-12-22,,DEN
33,33,2018-12-23,@,GSW
34,34,2018-12-26,,SAC
35,35,2018-12-28,@,LAL
36,36,2018-12-29,,SAS
37,37,2019-01-01,,PHI
38,38,2019-01-04,@,PHO
39,39,2019-01-06,,ORL
40,40,2019-01-08,,CHO
41,41,2019-01-10,@,DEN
42,42,2019-01-12,,DET
43,43,2019-01-14,,NOP
44,44,2019-01-16,,UTA
45,45,2019-01-18,,GSW
46,46,2019-01-20,@,SAS
47,47,2019-01-22,@,DAL
48,48,2019-01-23,@,MIA
49,49,2019-01-25,@,CHI
50,50,2019-01-27,,SAC
51,51,2019-01-28,,ATL
52,52,2019-01-31,,LAL
53,53,2019-02-02,@,DET
54,54,2019-02-03,@,TOR
55,55,2019-02-05,@,CHO
56,56,2019-02-07,@,IND
57,57,2019-02-09,@,BOS
58,58,2019-02-11,@,MIN
59,59,2019-02-13,,PHO
60,60,2019-02-22,@,MEM
61,61,2019-02-24,@,DEN
62,62,2019-02-25,,DAL
63,63,2019-02-27,@,UTA
64,64,2019-03-01,@,SAC
65,65,2019-03-03,,NYK
66,66,2019-03-04,@,LAL
67,67,2019-03-08,,OKC
68,68,2019-03-11,,BOS
69,69,2019-03-12,,POR
70,70,2019-03-15,,CHI
71,71,2019-03-17,,BRK
72,72,2019-03-19,,IND
73,73,2019-03-22,@,CLE
74,74,2019-03-24,@,NYK
75,75,2019-03-26,@,MIN
76,76,2019-03-28,@,MIL
77,77,2019-03-30,,CLE
78,78,2019-03-31,,MEM
79,79,2019-04-03,,HOU
80,80,2019-04-05,,LAL
81,81,2019-04-07,@,GSW
82,82,2019-04-10,,UTA
