"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"40","40","2019-01-10","@","SAC","L","102","112","35","82",".427","11","38",".289","21","24",".875","9","37","22","13","3","19","21","","44","86",".512","9","22",".409","15","20",".750","11","47","29","7","8","19","22","101.6","111.5","100.4",".293",".463",".551","44.0","62.9","12.9","4.7","",".494","17.0","20.0",".256","",".564","16.7","71.8",".174"
"41","41","2019-01-12","@","LAC","W","109","104","37","85",".435","16","37",".432","19","22",".864","14","48","20","12","5","16","26","","36","74",".486","9","18",".500","23","29",".793","6","38","25","7","5","17","19","114.3","109.1","95.3",".259",".435",".576","55.8","54.1","12.6","8.9","",".529","14.5","30.4",".224","",".547","16.4","85.0",".311"
"42","42","2019-01-14","@","UTA","L","94","100","35","90",".389","11","36",".306","13","16",".813","5","38","16","13","4","9","27","","31","80",".388","12","37",".324","26","36",".722","11","55","20","5","3","17","18","95.1","101.2","98.8",".178",".400",".484","40.9","45.7","13.2","9.3","",".450","8.5","10.2",".144","",".463","15.1","75.0",".325"
"43","43","2019-01-16","","ORL","W","120","115","44","92",".478","12","30",".400","20","25",".800","14","47","26","4","4","10","16","","47","94",".500","14","39",".359","7","13",".538","8","37","29","6","3","11","21","122.7","117.5","88.6",".272",".326",".583","56.0","59.1","4.1","7.3","",".543","8.8","32.6",".217","",".574","9.9","80.5",".074"
"44","44","2019-01-18","","MIA","W","98","93","35","82",".427","13","33",".394","15","18",".833","8","42","23","7","2","11","20","","39","77",".506","10","29",".345","5","19",".263","7","45","25","3","6","19","20","104.2","98.9","94.1",".220",".402",".545","48.3","65.7","7.4","4.2","",".506","10.9","17.4",".183","",".571","18.2","82.9",".065"
"45","45","2019-01-19","","SAC","L","101","103","36","82",".439","10","29",".345","19","25",".760","13","46","21","6","2","14","23","","40","89",".449","10","25",".400","13","18",".722","11","39","30","5","5","11","20","109.5","111.7","92.2",".305",".354",".543","54.1","58.3","6.5","3.1","",".500","13.1","31.7",".232","",".506","10.2","75.0",".146"
"46","46","2019-01-21","@","WAS","L","87","101","31","77",".403","11","34",".324","14","18",".778","2","40","22","5","3","17","21","","36","79",".456","8","23",".348","21","27",".778","5","45","24","7","6","13","18","88.6","102.9","98.2",".234",".442",".512","47.1","71.0","5.1","5.4","",".474","16.7","4.8",".182","",".506","12.5","88.4",".266"
"47","47","2019-01-23","@","NOP","W","98","94","36","89",".404","13","39",".333","13","19",".684","9","49","24","5","3","9","15","","42","91",".462","6","22",".273","4","9",".444","8","49","20","3","9","12","18","101.4","97.3","96.6",".213",".438",".503","50.0","66.7","5.2","4.3","",".478","8.5","18.0",".146","",".495","11.2","83.3",".044"
"48","48","2019-01-25","@","DAL","L","101","106","35","85",".412","12","38",".316","19","25",".760","13","46","22","6","0","12","26","","37","81",".457","14","36",".389","18","30",".600","9","43","24","8","6","9","25","109.7","115.1","92.1",".294",".447",".526","51.7","62.9","6.5","0.0","",".482","11.1","27.7",".224","",".543","8.7","78.6",".222"
"49","49","2019-01-29","","MIL","L","105","115","42","89",".472","12","37",".324","9","12",".750","10","39","29","8","3","11","14","","47","87",".540","13","32",".406","8","10",".800","6","39","32","9","6","10","15","112.4","123.1","93.4",".135",".416",".557","50.0","69.0","8.6","5.5","",".539","10.4","23.3",".101","",".615","9.9","82.9",".092"
