Rk,G,Date, ,Opp
1,1,2018-10-17,,UTA
2,2,2018-10-19,@,NOP
3,3,2018-10-21,@,OKC
4,4,2018-10-23,@,DEN
5,5,2018-10-24,,MEM
6,6,2018-10-26,,WAS
7,7,2018-10-29,@,MIA
8,8,2018-10-30,@,ORL
9,9,2018-11-01,@,ATL
10,10,2018-11-04,@,MIL
11,11,2018-11-07,,TOR
12,12,2018-11-09,,MIN
13,13,2018-11-10,,LAL
14,14,2018-11-12,,SAS
15,15,2018-11-16,@,MEM
16,16,2018-11-17,@,HOU
17,17,2018-11-19,,OKC
18,18,2018-11-21,@,UTA
19,19,2018-11-24,@,GSW
20,20,2018-11-25,,UTA
21,21,2018-11-29,,LAC
22,22,2018-12-01,,IND
23,23,2018-12-04,@,PHO
24,24,2018-12-07,@,CLE
25,25,2018-12-08,@,IND
26,26,2018-12-10,@,CHI
27,27,2018-12-12,,MIN
28,28,2018-12-14,,GSW
29,29,2018-12-16,@,DAL
30,30,2018-12-17,@,MIN
31,31,2018-12-19,,OKC
32,32,2018-12-21,,MEM
33,33,2018-12-23,,NOP
34,34,2018-12-26,@,LAC
35,35,2018-12-27,,LAL
36,36,2018-12-30,@,LAL
37,37,2019-01-01,,POR
38,38,2019-01-03,,DEN
39,39,2019-01-05,,GSW
40,40,2019-01-07,,ORL
41,41,2019-01-08,@,PHO
42,42,2019-01-10,,DET
43,43,2019-01-12,,CHO
44,44,2019-01-14,,POR
45,45,2019-01-17,@,CHO
46,46,2019-01-19,@,DET
47,47,2019-01-21,@,BRK
48,48,2019-01-22,@,TOR
49,49,2019-01-25,@,MEM
50,50,2019-01-27,@,LAC
51,51,2019-01-30,,ATL
52,52,2019-02-02,,PHI
53,53,2019-02-04,,SAS
54,54,2019-02-06,,HOU
55,55,2019-02-08,,MIA
56,56,2019-02-10,,PHO
57,57,2019-02-13,@,DEN
58,58,2019-02-21,@,GSW
59,59,2019-02-23,@,OKC
60,60,2019-02-25,@,MIN
61,61,2019-02-27,,MIL
62,62,2019-03-01,,LAC
63,63,2019-03-04,,NYK
64,64,2019-03-06,,BOS
65,65,2019-03-09,@,NYK
66,66,2019-03-11,@,WAS
67,67,2019-03-14,@,BOS
68,68,2019-03-15,@,PHI
69,69,2019-03-17,,CHI
70,70,2019-03-19,,BRK
71,71,2019-03-21,,DAL
72,72,2019-03-23,,PHO
73,73,2019-03-24,@,LAL
74,74,2019-03-26,@,DAL
75,75,2019-03-28,@,NOP
76,76,2019-03-30,@,HOU
77,77,2019-03-31,@,SAS
78,78,2019-04-02,,HOU
79,79,2019-04-04,,CLE
80,80,2019-04-05,@,UTA
81,81,2019-04-07,,NOP
82,82,2019-04-10,@,POR
