Rk,G,Date, ,Opp
1,1,2018-10-16,,PHI
2,2,2018-10-19,@,TOR
3,3,2018-10-20,@,NYK
4,4,2018-10-22,,ORL
5,5,2018-10-25,@,OKC
6,6,2018-10-27,@,DET
7,7,2018-10-30,,DET
8,8,2018-11-01,,MIL
9,9,2018-11-03,@,IND
10,10,2018-11-05,@,DEN
11,11,2018-11-08,@,PHO
12,12,2018-11-09,@,UTA
13,13,2018-11-11,@,POR
14,14,2018-11-14,,CHI
15,15,2018-11-16,,TOR
16,16,2018-11-17,,UTA
17,17,2018-11-19,@,CHO
18,18,2018-11-21,,NYK
19,19,2018-11-23,@,ATL
20,20,2018-11-24,@,DAL
21,21,2018-11-26,@,NOP
22,22,2018-11-30,,CLE
23,23,2018-12-01,@,MIN
24,24,2018-12-06,,NYK
25,25,2018-12-08,@,CHI
26,26,2018-12-10,,NOP
27,27,2018-12-12,@,WAS
28,28,2018-12-14,,ATL
29,29,2018-12-15,@,DET
30,30,2018-12-19,,PHO
31,31,2018-12-21,,MIL
32,32,2018-12-23,,CHO
33,33,2018-12-25,,PHI
34,34,2018-12-27,@,HOU
35,35,2018-12-29,@,MEM
36,36,2018-12-31,@,SAS
37,37,2019-01-02,,MIN
38,38,2019-01-04,,DAL
39,39,2019-01-07,,BRK
40,40,2019-01-09,,IND
41,41,2019-01-10,@,MIA
42,42,2019-01-12,@,ORL
43,43,2019-01-14,@,BRK
44,44,2019-01-16,,TOR
45,45,2019-01-18,,MEM
46,46,2019-01-19,@,ATL
47,47,2019-01-21,,MIA
48,48,2019-01-23,,CLE
49,49,2019-01-26,,GSW
50,50,2019-01-28,,BRK
51,51,2019-01-30,,CHO
52,52,2019-02-01,@,NYK
53,53,2019-02-03,,OKC
54,54,2019-02-05,@,CLE
55,55,2019-02-07,,LAL
56,56,2019-02-09,,LAC
57,57,2019-02-12,@,PHI
58,58,2019-02-13,,DET
59,59,2019-02-21,@,MIL
60,60,2019-02-23,@,CHI
61,61,2019-02-26,@,TOR
62,62,2019-02-27,,POR
63,63,2019-03-01,,WAS
64,64,2019-03-03,,HOU
65,65,2019-03-05,@,GSW
66,66,2019-03-06,@,SAC
67,67,2019-03-09,@,LAL
68,68,2019-03-11,@,LAC
69,69,2019-03-14,,SAC
70,70,2019-03-16,,ATL
71,71,2019-03-18,,DEN
72,72,2019-03-20,@,PHI
73,73,2019-03-23,@,CHO
74,74,2019-03-24,,SAS
75,75,2019-03-26,@,CLE
76,76,2019-03-29,,IND
77,77,2019-03-30,@,BRK
78,78,2019-04-01,,MIA
79,79,2019-04-03,@,MIA
80,80,2019-04-05,@,IND
81,81,2019-04-07,,ORL
82,82,2019-04-09,@,WAS
