Rk,G,Date, ,Opp
1,1,2018-10-17,@,ORL
2,2,2018-10-18,@,WAS
3,3,2018-10-20,,CHO
4,4,2018-10-24,,NYK
5,5,2018-10-27,,POR
6,6,2018-10-29,,SAC
7,7,2018-10-30,@,CHO
8,8,2018-11-03,@,ATL
9,9,2018-11-05,@,DET
10,10,2018-11-07,,SAS
11,11,2018-11-09,,IND
12,12,2018-11-10,,WAS
13,13,2018-11-12,,PHI
14,14,2018-11-14,@,BRK
15,15,2018-11-16,@,IND
16,16,2018-11-18,,LAL
17,17,2018-11-20,,BRK
18,18,2018-11-23,@,CHI
19,19,2018-11-25,@,TOR
20,20,2018-11-27,,ATL
21,21,2018-11-30,,NOP
22,22,2018-12-02,,UTA
23,23,2018-12-04,,ORL
24,24,2018-12-07,@,PHO
25,25,2018-12-08,@,LAC
26,26,2018-12-10,@,LAL
27,27,2018-12-12,@,UTA
28,28,2018-12-14,@,MEM
29,29,2018-12-16,@,NOP
30,30,2018-12-20,,HOU
31,31,2018-12-22,,MIL
32,32,2018-12-23,@,ORL
33,33,2018-12-26,,TOR
34,34,2018-12-28,,CLE
35,35,2018-12-30,,MIN
36,36,2019-01-02,@,CLE
37,37,2019-01-04,,WAS
38,38,2019-01-06,@,ATL
39,39,2019-01-08,,DEN
40,40,2019-01-10,,BOS
41,41,2019-01-12,,MEM
42,42,2019-01-15,@,MIL
43,43,2019-01-18,@,DET
44,44,2019-01-19,@,CHI
45,45,2019-01-21,@,BOS
46,46,2019-01-23,,LAC
47,47,2019-01-25,@,CLE
48,48,2019-01-27,@,NYK
49,49,2019-01-30,,CHI
50,50,2019-02-01,,OKC
51,51,2019-02-02,,IND
52,52,2019-02-05,@,POR
53,53,2019-02-08,@,SAC
54,54,2019-02-10,@,GSW
55,55,2019-02-11,@,DEN
56,56,2019-02-13,@,DAL
57,57,2019-02-21,@,PHI
58,58,2019-02-23,,DET
59,59,2019-02-25,,PHO
60,60,2019-02-27,,GSW
61,61,2019-02-28,@,HOU
62,62,2019-03-02,,BRK
63,63,2019-03-04,,ATL
64,64,2019-03-06,@,CHO
65,65,2019-03-08,,CLE
66,66,2019-03-10,,TOR
67,67,2019-03-13,,DET
68,68,2019-03-15,,MIL
69,69,2019-03-17,,CHO
70,70,2019-03-18,@,OKC
71,71,2019-03-20,@,SAS
72,72,2019-03-22,@,MIL
73,73,2019-03-23,@,WAS
74,74,2019-03-26,,ORL
75,75,2019-03-28,,DAL
76,76,2019-03-30,@,NYK
77,77,2019-04-01,@,BOS
78,78,2019-04-03,,BOS
79,79,2019-04-05,@,MIN
80,80,2019-04-07,@,TOR
81,81,2019-04-09,,PHI
82,82,2019-04-10,@,BRK
