"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"16","16","2018-11-16","@","WAS","W","115","104","38","90",".422","9","33",".273","30","38",".789","13","47","19","8","3","11","24","","37","87",".425","3","18",".167","27","34",".794","12","47","18","5","4","13","23","114.6","103.6","100.4",".422",".367",".539","50.0","50.0","8.0","4.3","",".472","9.3","27.1",".333","",".443","11.3","73.9",".310"
"17","17","2018-11-17","","LAC","L","119","127","40","88",".455","13","28",".464","26","34",".765","15","47","25","4","5","11","22","","48","95",".505","11","23",".478","20","24",".833","9","38","23","4","1","8","25","121.0","129.2","98.3",".386",".318",".578","55.3","62.5","4.1","6.9","",".528","9.7","34.1",".295","",".563","7.0","78.0",".211"
"18","18","2018-11-20","@","MIA","W","104","92","38","88",".432","8","31",".258","20","26",".769","13","53","17","6","4","11","21","","36","100",".360","7","32",".219","13","20",".650","18","52","18","5","6","14","24","106.5","94.2","97.7",".295",".352",".523","50.5","44.7","6.1","5.9","",".477","10.0","27.7",".227","",".395","11.4","69.0",".130"
"19","19","2018-11-21","@","DAL","L","113","119","42","94",".447","14","42",".333","15","21",".714","16","42","23","8","2","14","31","","38","78",".487","11","27",".407","32","41",".780","8","45","21","10","3","13","20","114.8","120.9","98.5",".223",".447",".547","48.3","54.8","8.1","3.9","",".521","11.9","30.2",".160","",".558","11.9","76.5",".410"
"20","20","2018-11-23","","MIN","L","102","112","33","79",".418","14","45",".311","22","26",".846","9","46","26","2","4","18","22","","44","92",".478","9","25",".360","15","17",".882","9","38","25","15","4","7","20","106.5","117.0","95.7",".329",".570",".564","54.8","78.8","2.1","6.0","",".506","16.6","23.7",".278","",".527","6.6","80.4",".163"
"21","21","2018-11-25","","PHI","L","125","127","50","88",".568","10","25",".400","15","20",".750","10","43","19","2","4","16","25","","44","91",".484","12","29",".414","27","33",".818","13","42","28","9","6","9","22","124.6","126.6","100.3",".227",".284",".646","50.6","38.0","2.0","6.5","",".625","14.2","25.6",".170","",".549","7.9","71.7",".297"
"22","22","2018-11-28","","UTA","L","91","101","30","86",".349","11","30",".367","20","28",".714","14","48","11","12","5","20","20","","39","82",".476","9","28",".321","14","21",".667","8","48","17","10","6","19","25","90.0","99.9","101.2",".326",".349",".463","50.0","36.7","11.9","9.3","",".413","16.9","25.9",".233","",".530","17.2","81.0",".171"
"23","23","2018-11-30","","MEM","L","125","131","42","94",".447","16","44",".364","25","30",".833","11","51","26","7","4","16","28","","50","101",".495","12","30",".400","19","22",".864","11","45","27","8","6","17","23","111.9","117.3","92.5",".319",".468",".583","53.1","61.9","6.3","5.6","",".532","13.0","24.4",".266","",".554","13.3","78.4",".188"
"24","24","2018-12-01","@","WAS","L","88","102","30","81",".370","8","33",".242","20","25",".800","11","42","19","8","2","17","17","","41","79",".519","8","26",".308","12","18",".667","2","38","19","8","3","13","21","91.7","106.3","96.0",".309",".407",".478","52.5","63.3","8.3","3.8","",".420","15.6","23.4",".247","",".570","13.0","93.9",".152"
"25","25","2018-12-03","","CLE","L","97","99","39","99",".394","10","40",".250","9","16",".563","17","50","17","5","2","7","20","","38","88",".432","4","15",".267","19","20",".950","14","55","15","5","4","9","17","106.2","108.4","91.3",".162",".404",".457","47.6","43.6","5.5","2.7","",".444","6.2","29.3",".091","",".455","8.5","70.2",".216"
"26","26","2018-12-05","","OKC","L","112","114","37","86",".430","15","36",".417","23","30",".767","10","45","21","7","4","14","24","","43","99",".434","13","38",".342","15","26",".577","17","60","28","8","6","13","23","109.3","111.3","102.5",".349",".419",".565","42.9","56.8","6.8","6.6","",".517","12.4","18.9",".267","",".500","10.5","67.3",".152"
"27","27","2018-12-07","","TOR","W","106","105","43","98",".439","11","35",".314","9","13",".692","16","60","22","8","2","20","28","","35","89",".393","11","35",".314","24","29",".828","6","41","25","9","7","15","19","99.3","98.4","96.6",".133",".357",".511","59.4","51.2","7.5","3.7","",".495","16.2","31.4",".092","",".455","12.8","88.0",".270"
"28","28","2018-12-08","@","NYK","W","112","104","43","88",".489","11","22",".500","15","25",".600","12","45","27","5","5","12","25","","39","83",".470","8","26",".308","18","30",".600","9","40","22","8","2","12","18","115.8","107.5","96.7",".284",".250",".566","52.9","62.8","5.2","8.8","",".551","10.8","27.9",".170","",".518","11.1","78.6",".217"
"29","29","2018-12-12","@","PHI","W","127","124","38","74",".514","14","28",".500","37","43",".860","7","37","20","10","1","16","23","","50","91",".549","12","28",".429","12","16",".750","10","37","31","11","3","17","30","125.3","122.3","101.4",".581",".378",".683","50.0","52.6","9.9","1.6","",".608","14.7","20.6",".500","",".615","14.8","75.0",".132"
"30","30","2018-12-14","","WAS","W","125","118","44","84",".524","11","31",".355","26","31",".839","9","45","34","5","3","9","17","","49","90",".544","11","29",".379","9","16",".563","4","26","30","3","3","9","24","128.9","121.7","97.0",".369",".369",".640","63.4","77.3","5.2","4.9","",".589","8.4","29.0",".310","",".606","8.5","90.0",".100"
