"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"1","1","2018-10-17","","ATL","W","126","107","45","99",".455","12","33",".364","24","31",".774","10","46","21","12","6","15","23","","41","90",".456","10","36",".278","15","18",".833","7","45","19","7","3","24","30","111.0","94.3","113.5",".313",".333",".559","50.5","46.7","10.6","11.1","",".515","11.8","20.8",".242","",".511","19.7","83.7",".167"
"2","2","2018-10-19","@","BRK","L","105","107","39","97",".402","9","28",".321","18","20",".900","12","36","14","10","1","3","19","","37","75",".493","12","30",".400","21","24",".875","12","55","22","2","6","22","23","112.0","114.1","93.8",".206",".289",".496","39.6","35.9","10.7","2.2","",".448","2.8","21.8",".186","",".573","20.5","66.7",".280"
"3","3","2018-10-20","","BOS","L","101","103","36","87",".414","12","35",".343","17","27",".630","11","46","23","8","1","16","25","","33","82",".402","9","25",".360","28","33",".848","11","47","21","8","2","15","26","101.7","103.7","99.3",".310",".402",".511","49.5","63.9","8.1","1.8","",".483","13.9","23.4",".195","",".457","13.5","76.1",".341"
"4","4","2018-10-22","@","MIL","L","113","124","45","99",".455","10","29",".345","13","15",".867","11","43","22","6","2","11","21","","45","96",".469","17","40",".425","17","24",".708","19","55","27","5","9","14","18","112.0","122.9","100.9",".152",".293",".535","43.9","48.9","5.9","3.6","",".505","9.4","23.4",".131","",".557","11.6","62.7",".177"
"5","5","2018-10-24","@","MIA","L","87","110","33","91",".363","12","33",".364","9","14",".643","10","45","20","5","3","12","23","","39","82",".476","13","29",".448","19","28",".679","4","51","24","7","5","13","15","87.4","110.4","99.6",".154",".363",".448","46.9","60.6","5.0","5.7","",".429","11.0","17.5",".099","",".555","12.1","89.7",".232"
"6","6","2018-10-26","","GSW","L","100","128","39","90",".433","13","39",".333","9","12",".750","11","40","17","6","1","19","18","","51","87",".586","16","33",".485","10","12",".833","6","39","26","10","6","14","16","100.3","128.4","99.7",".133",".433",".525","50.6","43.6","6.0","1.9","",".506","16.6","25.0",".100","",".678","13.2","82.9",".115"
"7","7","2018-10-29","","BRK","W","115","96","45","92",".489","9","24",".375","16","18",".889","16","53","21","5","3","13","21","","34","84",".405","11","38",".289","17","22",".773","11","32","22","6","7","10","20","127.1","106.1","90.5",".196",".261",".575","62.4","46.7","5.5","6.5","",".538","11.5","43.2",".174","",".470","9.6","77.1",".202"
"8","8","2018-10-31","","IND","L","101","107","34","79",".430","12","25",".480","21","24",".875","9","35","18","6","6","17","19","","45","83",".542","6","20",".300","11","17",".647","10","41","24","10","10","15","19","107.3","113.7","94.1",".304",".316",".564","46.1","52.9","6.4","9.5","",".506","16.0","22.5",".266","",".578","14.2","72.2",".133"
"9","9","2018-11-02","@","DAL","W","118","106","46","84",".548","7","29",".241","19","26",".731","10","40","26","13","4","12","24","","40","81",".494","11","29",".379","15","24",".625","11","40","22","6","1","18","28","122.4","110.0","96.4",".310",".345",".618","50.0","56.5","13.5","7.7","",".589","11.2","25.6",".226","",".562","16.4","73.2",".185"
"10","10","2018-11-04","@","WAS","L","95","108","39","93",".419","5","27",".185","12","16",".750","15","51","19","5","5","18","28","","36","83",".434","6","26",".231","30","39",".769","15","47","21","12","11","13","18","97.1","110.3","97.9",".172",".290",".475","52.0","48.7","5.1","8.8","",".446","15.2","31.9",".129","",".470","11.5","70.6",".361"
"11","11","2018-11-05","","CHI","L","115","116","41","106",".387","7","26",".269","26","29",".897","21","62","20","7","6","17","27","","43","95",".453","8","30",".267","22","30",".733","11","48","15","9","9","19","22","102.8","103.7","92.5",".274",".245",".484","56.4","48.8","6.3","9.2","",".420","12.5","36.2",".245","",".495","14.9","78.8",".232"
"12","12","2018-11-07","@","ATL","W","112","107","34","77",".442","11","30",".367","33","47",".702","11","48","15","8","7","16","30","","37","92",".402","11","38",".289","22","29",".759","15","45","26","5","9","17","30","110.3","105.4","101.5",".610",".390",".573","51.6","44.1","7.9","13.0","",".513","14.1","26.8",".429","",".462","14.0","71.2",".239"
