Rk,G,Date, ,Opp
1,1,2018-10-18,,MIA
2,2,2018-10-20,,TOR
3,3,2018-10-22,@,POR
4,4,2018-10-24,@,GSW
5,5,2018-10-26,@,SAC
6,6,2018-10-28,@,LAC
7,7,2018-10-30,@,MEM
8,8,2018-11-02,,OKC
9,9,2018-11-04,,NYK
10,10,2018-11-06,@,DAL
11,11,2018-11-09,@,ORL
12,12,2018-11-10,@,MIA
13,13,2018-11-12,,ORL
14,14,2018-11-14,,CLE
15,15,2018-11-16,,BRK
16,16,2018-11-18,,POR
17,17,2018-11-20,,LAC
18,18,2018-11-23,@,TOR
19,19,2018-11-24,,NOP
20,20,2018-11-26,,HOU
21,21,2018-11-28,@,NOP
22,22,2018-11-30,@,PHI
23,23,2018-12-01,,BRK
24,24,2018-12-03,@,NYK
25,25,2018-12-05,@,ATL
26,26,2018-12-08,@,CLE
27,27,2018-12-10,@,IND
28,28,2018-12-12,,BOS
29,29,2018-12-14,@,BRK
30,30,2018-12-16,,LAL
31,31,2018-12-18,@,ATL
32,32,2018-12-19,@,HOU
33,33,2018-12-22,,PHO
34,34,2018-12-23,@,IND
35,35,2018-12-26,@,DET
36,36,2018-12-28,,CHI
37,37,2018-12-29,,CHO
38,38,2019-01-02,,ATL
39,39,2019-01-04,@,MIA
40,40,2019-01-06,@,OKC
41,41,2019-01-08,@,PHI
42,42,2019-01-09,,PHI
43,43,2019-01-11,,MIL
44,44,2019-01-13,,TOR
45,45,2019-01-17,,NYK
46,46,2019-01-21,,DET
47,47,2019-01-24,,GSW
48,48,2019-01-25,@,ORL
49,49,2019-01-27,@,SAS
50,50,2019-01-29,@,CLE
51,51,2019-01-30,,IND
52,52,2019-02-02,,MIL
53,53,2019-02-04,,ATL
54,54,2019-02-06,@,MIL
55,55,2019-02-08,,CLE
56,56,2019-02-09,@,CHI
57,57,2019-02-11,@,DET
58,58,2019-02-13,@,TOR
59,59,2019-02-22,@,CHO
60,60,2019-02-23,,IND
61,61,2019-02-27,@,BRK
62,62,2019-03-01,@,BOS
63,63,2019-03-03,,MIN
64,64,2019-03-06,,DAL
65,65,2019-03-08,@,CHO
66,66,2019-03-09,@,MIN
67,67,2019-03-11,,SAC
68,68,2019-03-13,,ORL
69,69,2019-03-15,,CHO
70,70,2019-03-16,,MEM
71,71,2019-03-18,,UTA
72,72,2019-03-20,@,CHI
73,73,2019-03-21,,DEN
74,74,2019-03-23,,MIA
75,75,2019-03-26,@,LAL
76,76,2019-03-27,@,PHO
77,77,2019-03-29,@,UTA
78,78,2019-03-31,@,DEN
79,79,2019-04-03,,CHI
80,80,2019-04-05,,SAS
81,81,2019-04-07,@,NYK
82,82,2019-04-09,,BOS
