Rk,G,Date, ,Opp
1,1,2018-10-17,@,IND
2,2,2018-10-19,,ATL
3,3,2018-10-22,@,UTA
4,4,2018-10-24,@,SAC
5,5,2018-10-27,,PHO
6,6,2018-10-30,,WAS
7,7,2018-11-02,@,UTA
8,8,2018-11-04,@,PHO
9,9,2018-11-05,@,GSW
10,10,2018-11-07,,DEN
11,11,2018-11-10,,PHI
12,12,2018-11-12,,UTA
13,13,2018-11-14,@,MIL
14,14,2018-11-16,,SAC
15,15,2018-11-18,@,MIN
16,16,2018-11-19,,DAL
17,17,2018-11-21,@,SAS
18,18,2018-11-23,@,LAC
19,19,2018-11-25,,NYK
20,20,2018-11-27,,TOR
21,21,2018-11-30,@,BRK
22,22,2018-12-02,@,PHI
23,23,2018-12-05,,LAC
24,24,2018-12-07,@,NOP
25,25,2018-12-08,,LAL
26,26,2018-12-10,@,DEN
27,27,2018-12-12,,POR
28,28,2018-12-14,,MIA
29,29,2018-12-15,,HOU
30,30,2018-12-17,@,GSW
31,31,2018-12-19,@,POR
32,32,2018-12-21,@,SAC
33,33,2018-12-23,@,LAL
34,34,2018-12-26,,CLE
35,35,2018-12-29,,BOS
36,36,2018-12-31,@,HOU
37,37,2019-01-02,,DET
38,38,2019-01-04,,BRK
39,39,2019-01-05,@,SAS
40,40,2019-01-07,@,NOP
41,41,2019-01-09,,SAS
42,42,2019-01-12,@,MIA
43,43,2019-01-14,@,HOU
44,44,2019-01-16,,MIL
45,45,2019-01-18,@,BOS
46,46,2019-01-19,@,TOR
47,47,2019-01-21,,NOP
48,48,2019-01-23,,CHO
49,49,2019-01-25,,SAC
50,50,2019-01-26,,IND
51,51,2019-01-28,,DEN
52,52,2019-01-30,@,MIN
53,53,2019-02-01,@,CHO
54,54,2019-02-03,@,NYK
55,55,2019-02-05,,MIN
56,56,2019-02-07,@,OKC
57,57,2019-02-09,,NOP
58,58,2019-02-12,,SAS
59,59,2019-02-13,@,CHI
60,60,2019-02-22,,LAC
61,61,2019-02-23,@,CLE
62,62,2019-02-25,,LAL
63,63,2019-02-27,,CHI
64,64,2019-03-02,@,DAL
65,65,2019-03-03,@,OKC
66,66,2019-03-05,,POR
67,67,2019-03-08,,UTA
68,68,2019-03-10,,ORL
69,69,2019-03-13,@,ATL
70,70,2019-03-16,@,WAS
71,71,2019-03-20,,HOU
72,72,2019-03-22,@,ORL
73,73,2019-03-23,,MIN
74,74,2019-03-25,,OKC
75,75,2019-03-27,,GSW
76,76,2019-03-30,@,PHO
77,77,2019-03-31,@,LAC
78,78,2019-04-03,@,POR
79,79,2019-04-05,@,DAL
80,80,2019-04-07,,DAL
81,81,2019-04-09,@,DET
82,82,2019-04-10,,GSW
