"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"1","1","2018-10-18","@","PHI","L","108","127","44","101",".436","11","33",".333","9","12",".750","5","39","28","4","6","12","23","","44","93",".473","12","36",".333","27","30",".900","11","55","30","10","8","13","17","99.6","117.2","108.4",".119",".327",".508","41.5","63.6","3.7","10.5","",".490","10.1","10.2",".089","",".538","10.9","75.6",".290"
"2","2","2018-10-20","","DET","L","116","118","44","87",".506","7","21",".333","21","26",".808","5","41","26","4","3","11","20","","41","101",".406","18","40",".450","18","23",".783","18","49","21","4","4","9","23","116.1","118.1","99.9",".299",".241",".589","45.6","59.1","4.0","4.9","",".546","10.1","13.9",".241","",".495","7.5","66.7",".178"
"3","3","2018-10-22","@","DAL","L","109","115","41","80",".513","13","23",".565","14","21",".667","7","34","18","6","4","19","29","","40","93",".430","15","47",".319","20","21",".952","13","41","25","8","2","15","16","110.6","116.7","98.5",".263",".288",".611","45.3","43.9","6.1","8.7","",".594","17.6","20.0",".175","",".511","12.8","67.5",".215"
"4","4","2018-10-24","","CHO","W","112","110","37","77",".481","10","29",".345","28","35",".800","9","45","21","4","5","14","24","","37","85",".435","10","35",".286","26","29",".897","8","36","23","5","5","6","20","119.2","117.1","93.9",".455",".377",".606","55.6","56.8","4.3","10.0","",".545","13.2","24.3",".364","",".494","5.8","81.8",".306"
"5","5","2018-10-26","@","CHO","L","106","135","37","85",".435","16","36",".444","16","22",".727","8","34","21","5","7","13","16","","53","93",".570","14","32",".438","15","16",".938","11","50","30","10","10","10","18","108.9","138.7","97.4",".259",".424",".560","40.5","56.8","5.1","11.5","",".529","12.1","17.0",".188","",".645","9.1","70.3",".161"
"6","6","2018-10-27","@","ATL","W","97","85","36","83",".434","12","33",".364","13","16",".813","8","52","25","14","6","20","21","","27","84",".321","12","40",".300","19","23",".826","11","48","20","9","8","22","13","95.3","83.6","101.7",".193",".398",".539","52.0","69.4","13.8","13.6","",".506","18.2","17.8",".157","",".393","18.9","80.0",".226"
"7","7","2018-10-29","","GSW","L","124","149","46","94",".489","11","35",".314","21","34",".618","12","44","25","6","3","9","19","","53","96",".552","24","45",".533","19","26",".731","8","49","34","9","7","7","29","118.6","142.5","104.6",".362",".372",".569","47.3","54.3","5.7","5.9","",".548","7.6","22.6",".223","",".677","6.1","80.0",".198"
"8","8","2018-10-31","","DEN","L","107","108","39","92",".424","16","34",".471","13","18",".722","10","43","27","7","6","13","23","","45","99",".455","7","26",".269","11","18",".611","17","56","24","7","9","16","16","105.3","106.3","92.0",".196",".370",".535","43.4","69.2","6.9","8.2","",".511","11.5","20.4",".141","",".490","13.0","66.0",".111"
"9","9","2018-11-02","","IND","L","105","107","42","89",".472","13","31",".419","8","9",".889","11","43","33","2","7","14","20","","40","85",".471","7","26",".269","20","22",".909","9","42","21","8","9","11","13","111.5","113.7","94.1",".101",".348",".565","50.6","78.6","2.1","11.9","",".545","13.1","25.0",".090","",".512","10.4","78.0",".235"
"10","10","2018-11-03","","HOU","L","88","96","28","71",".394","6","23",".261","26","27",".963","4","37","15","13","4","19","18","","35","83",".422","13","42",".310","13","20",".650","10","45","21","13","5","18","22","91.1","99.4","96.6",".380",".324",".531","45.1","53.6","13.5","9.8","",".437","18.6","10.3",".366","",".500","16.4","76.7",".157"
