"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"1","1","2018-10-16","","PHI","W","105","87","42","97",".433","11","37",".297","10","14",".714","12","55","21","7","5","14","20","","34","87",".391","5","26",".192","14","23",".609","6","47","18","8","5","16","20","100.7","83.4","104.3",".144",".381",".509","53.9","50.0","6.7","8.2","",".490","11.9","22.6",".103","",".420","14.1","87.8",".161"
"2","2","2018-10-19","@","TOR","L","101","113","40","99",".404","14","36",".389","7","10",".700","16","49","29","4","6","14","27","","43","92",".467","13","35",".371","14","19",".737","12","49","24","3","3","12","19","103.3","115.6","97.8",".101",".364",".488","50.0","72.5","4.1","10.5","",".475","11.9","30.2",".071","",".538","10.7","73.3",".152"
"3","3","2018-10-20","@","NYK","W","103","101","33","82",".402","9","25",".360","28","33",".848","11","47","21","8","2","15","26","","36","87",".414","12","35",".343","17","27",".630","11","46","23","8","1","16","25","103.7","101.7","99.3",".402",".305",".534","50.5","63.6","8.1","3.8","",".457","13.5","23.9",".341","",".483","13.9","76.6",".195"
"4","4","2018-10-22","","ORL","L","90","93","37","91",".407","9","40",".225","7","9",".778","9","51","21","6","3","12","15","","38","93",".409","10","35",".286","7","10",".700","8","49","28","6","2","9","15","93.4","96.5","96.4",".099",".440",".474","51.0","56.8","6.2","5.2","",".456","11.2","18.0",".077","",".462","8.5","84.0",".075"
"5","5","2018-10-25","@","OKC","W","101","95","33","86",".384","11","32",".344","24","33",".727","10","45","19","7","1","11","27","","37","94",".394","7","28",".250","14","25",".560","16","57","19","5","6","16","27","101.0","95.0","100.0",".384",".372",".502","44.1","57.6","7.0","1.5","",".448","9.9","19.6",".279","",".431","13.2","68.6",".149"
"6","6","2018-10-27","@","DET","W","109","89","39","86",".453","14","34",".412","17","25",".680","8","54","25","4","8","13","26","","33","89",".371","7","37",".189","16","20",".800","6","47","16","4","3","11","24","108.0","88.2","100.9",".291",".395",".562","53.5","64.1","4.0","15.4","",".535","11.8","16.3",".198","",".410","10.1","88.5",".180"
"7","7","2018-10-30","","DET","W","108","105","37","84",".440","9","31",".290","25","32",".781","8","46","25","8","4","14","20","","37","88",".420","8","30",".267","23","27",".852","11","50","17","6","3","17","28","105.0","102.0","102.9",".381",".369",".551","47.9","67.6","7.8","6.9","",".494","12.5","17.0",".298","",".466","14.5","77.6",".261"
"8","8","2018-11-01","","MIL","W","117","113","41","92",".446","24","55",".436","11","13",".846","8","42","30","5","8","12","23","","41","85",".482","9","29",".310","22","30",".733","8","45","20","8","3","14","20","116.1","112.1","100.8",".141",".598",".599","48.3","73.2","5.0","14.3","",".576","10.9","17.8",".120","",".535","12.5","81.0",".259"
"9","9","2018-11-03","@","IND","L","101","102","38","88",".432","19","46",".413","6","9",".667","10","45","23","6","8","14","20","","36","86",".419","11","32",".344","19","25",".760","8","45","23","10","2","13","16","104.5","105.6","96.6",".102",".523",".549","50.0","60.5","6.2","14.8","",".540","13.2","21.3",".068","",".483","11.8","81.4",".221"
"10","10","2018-11-05","@","DEN","L","107","115","44","87",".506","9","31",".290","10","12",".833","7","40","22","9","9","12","21","","41","90",".456","13","34",".382","20","28",".714","15","47","25","5","4","13","14","110.7","119.0","96.7",".138",".356",".580","46.0","50.0","9.3","16.1","",".557","11.5","17.9",".115","",".528","11.3","68.8",".222"
