Rk,G,Date, ,Opp
1,1,2018-10-17,,ATL
2,2,2018-10-19,@,BRK
3,3,2018-10-20,,BOS
4,4,2018-10-22,@,MIL
5,5,2018-10-24,@,MIA
6,6,2018-10-26,,GSW
7,7,2018-10-29,,BRK
8,8,2018-10-31,,IND
9,9,2018-11-02,@,DAL
10,10,2018-11-04,@,WAS
11,11,2018-11-05,,CHI
12,12,2018-11-07,@,ATL
13,13,2018-11-10,@,TOR
14,14,2018-11-11,,ORL
15,15,2018-11-14,@,OKC
16,16,2018-11-16,@,NOP
17,17,2018-11-18,@,ORL
18,18,2018-11-20,,POR
19,19,2018-11-21,@,BOS
20,20,2018-11-23,,NOP
21,21,2018-11-25,@,MEM
22,22,2018-11-27,@,DET
23,23,2018-11-28,@,PHI
24,24,2018-12-01,,MIL
25,25,2018-12-03,,WAS
26,26,2018-12-06,@,BOS
27,27,2018-12-08,,BRK
28,28,2018-12-09,,CHO
29,29,2018-12-12,@,CLE
30,30,2018-12-14,@,CHO
31,31,2018-12-16,@,IND
32,32,2018-12-17,,PHO
33,33,2018-12-19,@,PHI
34,34,2018-12-21,,ATL
35,35,2018-12-25,,MIL
36,36,2018-12-27,@,MIL
37,37,2018-12-29,@,UTA
38,38,2019-01-01,@,DEN
39,39,2019-01-04,@,LAL
40,40,2019-01-07,@,POR
41,41,2019-01-08,@,GSW
42,42,2019-01-11,,IND
43,43,2019-01-13,,PHI
44,44,2019-01-17,@,WAS
45,45,2019-01-21,,OKC
46,46,2019-01-23,,HOU
47,47,2019-01-25,@,BRK
48,48,2019-01-27,,MIA
49,49,2019-01-28,@,CHO
50,50,2019-01-30,,DAL
51,51,2019-02-01,,BOS
52,52,2019-02-03,,MEM
53,53,2019-02-05,,DET
54,54,2019-02-08,@,DET
55,55,2019-02-09,,TOR
56,56,2019-02-11,@,CLE
57,57,2019-02-13,,PHI
58,58,2019-02-14,@,ATL
59,59,2019-02-22,,MIN
60,60,2019-02-24,,SAS
61,61,2019-02-26,,ORL
62,62,2019-02-28,,CLE
63,63,2019-03-03,@,LAC
64,64,2019-03-04,@,SAC
65,65,2019-03-06,@,PHO
66,66,2019-03-09,,SAC
67,67,2019-03-10,@,MIN
68,68,2019-03-12,@,IND
69,69,2019-03-15,@,SAS
70,70,2019-03-17,,LAL
71,71,2019-03-18,@,TOR
72,72,2019-03-20,,UTA
73,73,2019-03-22,,DEN
74,74,2019-03-24,,LAC
75,75,2019-03-28,,TOR
76,76,2019-03-30,,MIA
77,77,2019-04-01,,CHI
78,78,2019-04-03,@,ORL
79,79,2019-04-05,@,HOU
80,80,2019-04-07,,WAS
81,81,2019-04-09,@,CHI
82,82,2019-04-10,,DET
