"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"37","37","2019-01-01","","POR","L","108","113","44","115",".383","11","33",".333","9","12",".750","14","53","24","13","4","13","23","","39","90",".433","9","32",".281","26","30",".867","10","56","22","11","10","18","19","96.5","100.9","101.4",".104",".287",".449","48.6","54.5","11.6","6.9","",".430","9.8","23.3",".078","",".483","14.9","79.6",".289"
"38","38","2019-01-03","","DEN","L","113","117","45","90",".500","13","31",".419","10","15",".667","7","33","25","5","3","8","23","","41","89",".461","14","39",".359","21","30",".700","16","54","24","3","3","14","20","117.7","121.9","96.0",".167",".344",".585","37.9","55.6","5.2","6.0","",".572","7.6","15.6",".111","",".539","12.0","61.9",".236"
"39","39","2019-01-05","","GSW","L","123","127","46","97",".474","20","36",".556","11","14",".786","14","43","34","12","0","8","18","","47","93",".505","21","47",".447","12","14",".857","12","47","29","5","8","13","16","128.0","132.2","96.1",".144",".371",".596","47.8","73.9","12.5","0.0","",".577","7.2","28.6",".113","",".618","11.6","70.7",".129"
"40","40","2019-01-07","","ORL","W","111","95","45","98",".459","10","34",".294","11","20",".550","9","57","24","11","4","9","18","","32","87",".368","13","37",".351","18","24",".750","5","46","15","8","1","16","15","104.8","89.7","105.9",".204",".347",".520","55.3","53.3","10.4","8.0","",".510","7.8","18.0",".112","",".443","14.1","90.6",".207"
"41","41","2019-01-08","@","PHO","L","111","115","38","80",".475","15","29",".517","20","29",".690","12","43","26","11","5","25","19","","45","88",".511","10","25",".400","15","19",".789","9","37","31","18","7","19","25","107.1","110.9","103.7",".363",".363",".598","53.8","68.4","10.6","7.9","",".569","21.2","30.0",".250","",".568","16.5","77.5",".170"
"42","42","2019-01-10","","DET","W","112","102","44","86",".512","9","22",".409","15","20",".750","11","47","29","7","8","19","22","","35","82",".427","11","38",".289","21","24",".875","9","37","22","13","3","19","21","111.5","101.6","100.4",".233",".256",".591","56.0","65.9","7.0","18.2","",".564","16.7","28.2",".174","",".494","17.0","80.0",".256"
"43","43","2019-01-12","","CHO","W","104","97","41","99",".414","14","37",".378","8","12",".667","12","49","27","8","5","11","21","","36","88",".409","12","36",".333","13","22",".591","13","56","21","6","11","18","17","103.2","96.2","100.8",".121",".374",".499","46.7","65.9","7.9","9.6","",".485","9.5","21.8",".081","",".477","15.6","74.0",".148"
"44","44","2019-01-14","","POR","W","115","107","43","87",".494","10","26",".385","19","24",".792","11","48","24","6","6","13","23","","37","92",".402","10","31",".323","23","29",".793","17","49","22","6","3","14","23","117.0","108.8","98.3",".276",".299",".589","49.5","55.8","6.1","9.8","",".552","11.8","25.6",".218","",".457","11.8","68.5",".250"
"45","45","2019-01-17","@","CHO","L","95","114","39","88",".443","11","33",".333","6","13",".462","11","42","28","7","3","17","22","","39","87",".448","11","38",".289","25","29",".862","12","46","21","11","4","13","16","97.6","117.1","97.3",".148",".375",".507","47.7","71.8","7.2","6.1","",".506","15.4","24.4",".068","",".511","11.5","72.1",".287"
"46","46","2019-01-19","@","DET","W","103","101","40","89",".449","10","25",".400","13","18",".722","11","39","30","5","5","11","20","","36","82",".439","10","29",".345","19","25",".760","13","46","21","6","2","14","23","111.7","109.5","92.2",".202",".281",".531","45.9","75.0","5.4","9.4","",".506","10.2","25.0",".146","",".500","13.1","68.3",".232"
"47","47","2019-01-21","@","BRK","L","94","123","39","93",".419","10","25",".400","6","11",".545","10","37","26","8","4","14","20","","45","90",".500","13","35",".371","20","24",".833","12","56","25","9","4","16","15","93.3","122.1","100.7",".118",".269",".480","39.8","66.7","7.9","7.3","",".473","12.5","18.5",".065","",".572","13.7","69.2",".222"
"48","48","2019-01-22","@","TOR","L","105","120","41","91",".451","7","21",".333","16","22",".727","10","43","29","8","7","14","27","","40","91",".440","16","40",".400","24","35",".686","12","46","25","7","5","16","21","100.9","115.3","104.0",".242",".231",".521","48.3","70.7","7.7","13.7","",".489","12.2","22.7",".176","",".527","13.1","73.3",".264"
"49","49","2019-01-25","@","MEM","W","99","96","37","91",".407","12","33",".364","13","17",".765","12","49","23","11","5","17","25","","34","80",".425","6","20",".300","22","27",".815","9","44","22","13","5","16","22","100.4","97.4","98.6",".187",".363",".503","52.7","62.2","11.2","8.3","",".473","14.7","25.5",".143","",".463","14.8","80.4",".275"
