Rk,G,Date, ,Opp
1,1,2018-10-17,@,TOR
2,2,2018-10-19,@,MIN
3,3,2018-10-21,,ATL
4,4,2018-10-24,,BRK
5,5,2018-10-25,@,DET
6,6,2018-10-27,,IND
7,7,2018-10-30,,ATL
8,8,2018-11-01,,DEN
9,9,2018-11-03,@,CHO
10,10,2018-11-05,@,ORL
11,11,2018-11-07,,OKC
12,12,2018-11-10,@,CHI
13,13,2018-11-13,,CHO
14,14,2018-11-14,@,WAS
15,15,2018-11-19,@,DET
16,16,2018-11-21,,LAL
17,17,2018-11-23,@,PHI
18,18,2018-11-24,,HOU
19,19,2018-11-26,,MIN
20,20,2018-11-28,@,OKC
21,21,2018-11-30,@,BOS
22,22,2018-12-01,,TOR
23,23,2018-12-03,@,BRK
24,24,2018-12-05,,GSW
25,25,2018-12-07,,SAC
26,26,2018-12-08,,WAS
27,27,2018-12-10,@,MIL
28,28,2018-12-12,,NYK
29,29,2018-12-14,,MIL
30,30,2018-12-16,,PHI
31,31,2018-12-18,@,IND
32,32,2018-12-19,@,CHO
33,33,2018-12-21,@,TOR
34,34,2018-12-23,,CHI
35,35,2018-12-26,@,MEM
36,36,2018-12-28,@,MIA
37,37,2018-12-29,@,ATL
38,38,2019-01-02,,MIA
39,39,2019-01-04,,UTA
40,40,2019-01-05,,NOP
41,41,2019-01-08,,IND
42,42,2019-01-09,@,NOP
43,43,2019-01-11,@,HOU
44,44,2019-01-13,@,LAL
45,45,2019-01-16,@,POR
46,46,2019-01-18,@,UTA
47,47,2019-01-19,@,DEN
48,48,2019-01-21,,CHI
49,49,2019-01-23,@,BOS
50,50,2019-01-25,,MIA
51,51,2019-01-27,@,CHI
52,52,2019-01-29,,WAS
53,53,2019-02-02,,DAL
54,54,2019-02-05,,BOS
55,55,2019-02-08,@,WAS
56,56,2019-02-09,@,IND
57,57,2019-02-11,,NYK
58,58,2019-02-13,,BRK
59,59,2019-02-21,,PHO
60,60,2019-02-23,,MEM
61,61,2019-02-25,,POR
62,62,2019-02-28,@,NYK
63,63,2019-03-02,,DET
64,64,2019-03-03,,ORL
65,65,2019-03-06,@,BRK
66,66,2019-03-08,@,MIA
67,67,2019-03-11,,TOR
68,68,2019-03-12,@,PHI
69,69,2019-03-14,@,ORL
70,70,2019-03-16,@,DAL
71,71,2019-03-18,,DET
72,72,2019-03-20,,MIL
73,73,2019-03-22,,LAC
74,74,2019-03-24,@,MIL
75,75,2019-03-26,,BOS
76,76,2019-03-28,@,SAS
77,77,2019-03-30,@,LAC
78,78,2019-04-01,@,PHO
79,79,2019-04-04,@,SAC
80,80,2019-04-05,@,GSW
81,81,2019-04-07,,SAS
82,82,2019-04-09,,CHO
