Rk,G,Date, ,Opp
1,1,2018-10-17,,MIA
2,2,2018-10-19,,CHO
3,3,2018-10-20,@,PHI
4,4,2018-10-22,@,BOS
5,5,2018-10-25,,POR
6,6,2018-10-27,@,MIL
7,7,2018-10-30,,SAC
8,8,2018-11-02,,LAC
9,9,2018-11-04,@,SAS
10,10,2018-11-05,,CLE
11,11,2018-11-07,,DET
12,12,2018-11-09,,WAS
13,13,2018-11-11,@,NYK
14,14,2018-11-12,@,WAS
15,15,2018-11-14,,PHI
16,16,2018-11-17,,LAL
17,17,2018-11-18,,NYK
18,18,2018-11-20,,TOR
19,19,2018-11-23,@,DEN
20,20,2018-11-25,@,LAL
21,21,2018-11-26,@,GSW
22,22,2018-11-28,@,POR
23,23,2018-11-30,@,PHO
24,24,2018-12-04,@,MIA
25,25,2018-12-05,,DEN
26,26,2018-12-07,,IND
27,27,2018-12-10,@,DAL
28,28,2018-12-13,,CHI
29,29,2018-12-15,,UTA
30,30,2018-12-19,,SAS
31,31,2018-12-21,@,CHI
32,32,2018-12-23,,MIA
33,33,2018-12-26,,PHO
34,34,2018-12-28,,TOR
35,35,2018-12-30,,DET
36,36,2018-12-31,@,CHO
37,37,2019-01-02,@,CHI
38,38,2019-01-04,@,MIN
39,39,2019-01-06,@,LAC
40,40,2019-01-07,@,SAC
41,41,2019-01-09,@,UTA
42,42,2019-01-12,,BOS
43,43,2019-01-13,,HOU
44,44,2019-01-16,@,DET
45,45,2019-01-18,,BRK
46,46,2019-01-19,,MIL
47,47,2019-01-21,@,ATL
48,48,2019-01-23,@,BRK
49,49,2019-01-25,,WAS
50,50,2019-01-27,@,HOU
51,51,2019-01-29,,OKC
52,52,2019-01-31,,IND
53,53,2019-02-02,,BRK
54,54,2019-02-05,@,OKC
55,55,2019-02-07,,MIN
56,56,2019-02-09,@,MIL
57,57,2019-02-10,@,ATL
58,58,2019-02-12,@,NOP
59,59,2019-02-14,,CHO
60,60,2019-02-22,,CHI
61,61,2019-02-24,@,TOR
62,62,2019-02-26,@,NYK
63,63,2019-02-28,,GSW
64,64,2019-03-02,@,IND
65,65,2019-03-03,@,CLE
66,66,2019-03-05,@,PHI
67,67,2019-03-08,,DAL
68,68,2019-03-10,@,MEM
69,69,2019-03-13,@,WAS
70,70,2019-03-14,,CLE
71,71,2019-03-17,,ATL
72,72,2019-03-20,,NOP
73,73,2019-03-22,,MEM
74,74,2019-03-25,,PHI
75,75,2019-03-26,@,MIA
76,76,2019-03-28,@,DET
77,77,2019-03-30,@,IND
78,78,2019-04-01,@,TOR
79,79,2019-04-03,,NYK
80,80,2019-04-05,,ATL
81,81,2019-04-07,@,BOS
82,82,2019-04-10,@,CHO
