"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"1","1","2018-10-16","@","GSW","L","100","108","33","91",".363","10","37",".270","24","37",".649","16","45","21","12","6","14","21","","42","95",".442","7","26",".269","17","18",".944","17","58","28","7","7","21","29","97.7","105.6","102.3",".407",".407",".466","43.7","63.6","11.7","8.7","",".418","11.5","28.1",".264","",".479","16.9","63.0",".179"
"2","2","2018-10-19","@","LAC","L","92","108","34","95",".358","7","33",".212","17","23",".739","15","52","18","5","4","12","29","","35","81",".432","11","26",".423","27","36",".750","10","48","21","3","3","14","24","93.6","109.8","98.3",".242",".347",".438","52.0","52.9","5.1","7.3","",".395","10.2","28.3",".179","",".500","12.6","78.7",".333"
"3","3","2018-10-21","","SAC","L","120","131","46","104",".442","9","39",".231","19","30",".633","18","51","23","11","9","18","29","","50","91",".549","10","22",".455","21","28",".750","12","46","28","11","7","17","26","109.1","119.1","110.0",".288",".375",".512","52.6","50.0","10.0","13.0","",".486","13.3","34.6",".183","",".604","14.1","73.3",".231"
"4","4","2018-10-25","","BOS","L","95","101","37","94",".394","7","28",".250","14","25",".560","16","57","19","5","6","16","27","","33","86",".384","11","32",".344","24","33",".727","10","45","19","7","1","11","27","95.0","101.0","100.0",".266",".298",".452","55.9","51.4","5.0","11.1","",".431","13.2","31.4",".149","",".448","9.9","80.4",".279"
"5","5","2018-10-28","","PHO","W","117","110","43","85",".506","7","24",".292","24","35",".686","9","43","22","16","3","15","24","","38","86",".442","8","27",".296","26","27",".963","10","44","21","10","3","22","32","110.5","103.9","105.9",".412",".282",".583","49.4","51.2","15.1","5.1","",".547","13.0","20.9",".282","",".488","18.4","77.3",".302"
"6","6","2018-10-30","","LAC","W","128","110","48","94",".511","9","17",".529","23","32",".719","9","41","19","16","6","15","35","","35","74",".473","7","20",".350","33","43",".767","6","38","18","6","7","24","26","116.6","100.2","109.8",".340",".181",".592","51.9","39.6","14.6","11.1","",".559","12.2","22.0",".245","",".520","20.5","84.2",".446"
"7","7","2018-11-01","@","CHO","W","111","107","41","96",".427","8","37",".216","21","29",".724","14","49","20","12","9","10","21","","38","93",".409","11","41",".268","20","22",".909","11","51","26","7","3","17","26","107.2","103.3","103.5",".302",".385",".510","49.0","48.8","11.6","17.3","",".469","8.4","25.9",".219","",".468","14.2","76.1",".215"
"8","8","2018-11-02","@","WAS","W","134","111","49","86",".570","15","32",".469","21","26",".808","7","38","34","13","5","13","20","","44","86",".512","9","30",".300","14","18",".778","6","30","27","6","4","18","21","131.1","108.6","102.2",".302",".372",".688","55.9","69.4","12.7","8.9","",".657","11.8","22.6",".244","",".564","16.1","83.8",".163"
"9","9","2018-11-05","","NOP","W","122","116","45","93",".484","10","27",".370","22","31",".710","9","41","26","15","3","12","23","","41","84",".488","9","29",".310","25","30",".833","11","45","27","8","5","20","26","115.7","110.0","105.4",".333",".290",".572","47.7","57.8","14.2","5.5","",".538","10.1","20.9",".237","",".542","17.1","74.4",".298"
"10","10","2018-11-07","@","CLE","W","95","86","35","84",".417","7","27",".259","18","26",".692","7","44","10","13","9","12","23","","33","89",".371","9","31",".290","11","13",".846","12","51","17","3","4","19","26","96.5","87.3","98.5",".310",".321",".498","46.3","28.6","13.2","15.5","",".458","11.2","15.2",".214","",".421","16.7","75.5",".124"
