Rk,G,Date, ,Opp
1,1,2018-10-17,,NOP
2,2,2018-10-20,@,LAL
3,3,2018-10-21,@,LAC
4,4,2018-10-24,,UTA
5,5,2018-10-26,,LAC
6,6,2018-10-30,,POR
7,7,2018-11-02,@,BRK
8,8,2018-11-03,@,CHI
9,9,2018-11-05,@,IND
10,10,2018-11-08,@,OKC
11,11,2018-11-10,@,SAS
12,12,2018-11-11,,IND
13,13,2018-11-13,@,DEN
14,14,2018-11-15,,GSW
15,15,2018-11-17,,SAC
16,16,2018-11-21,,DET
17,17,2018-11-23,@,DET
18,18,2018-11-24,@,CLE
19,19,2018-11-26,@,WAS
20,20,2018-11-28,,DAL
21,21,2018-11-30,@,SAS
22,22,2018-12-01,,CHI
23,23,2018-12-03,@,MIN
24,24,2018-12-06,@,UTA
25,25,2018-12-08,@,DAL
26,26,2018-12-11,,POR
27,27,2018-12-13,,LAL
28,28,2018-12-15,@,MEM
29,29,2018-12-17,,UTA
30,30,2018-12-19,,WAS
31,31,2018-12-20,@,MIA
32,32,2018-12-22,,SAS
33,33,2018-12-25,,OKC
34,34,2018-12-27,,BOS
35,35,2018-12-29,@,NOP
36,36,2018-12-31,,MEM
37,37,2019-01-03,@,GSW
38,38,2019-01-05,@,POR
39,39,2019-01-07,,DEN
40,40,2019-01-09,,MIL
41,41,2019-01-11,,CLE
42,42,2019-01-13,@,ORL
43,43,2019-01-14,,MEM
44,44,2019-01-16,,BRK
45,45,2019-01-19,,LAL
46,46,2019-01-21,@,PHI
47,47,2019-01-23,@,NYK
48,48,2019-01-25,,TOR
49,49,2019-01-27,,ORL
50,50,2019-01-29,,NOP
51,51,2019-02-01,@,DEN
52,52,2019-02-02,@,UTA
53,53,2019-02-04,@,PHO
54,54,2019-02-06,@,SAC
55,55,2019-02-09,,OKC
56,56,2019-02-11,,DAL
57,57,2019-02-13,@,MIN
58,58,2019-02-21,@,LAL
59,59,2019-02-23,@,GSW
60,60,2019-02-25,,ATL
61,61,2019-02-27,@,CHO
62,62,2019-02-28,,MIA
63,63,2019-03-03,@,BOS
64,64,2019-03-05,@,TOR
65,65,2019-03-08,,PHI
66,66,2019-03-10,@,DAL
67,67,2019-03-11,,CHO
68,68,2019-03-13,,GSW
69,69,2019-03-15,,PHO
70,70,2019-03-17,,MIN
71,71,2019-03-19,@,ATL
72,72,2019-03-20,@,MEM
73,73,2019-03-22,,SAS
74,74,2019-03-24,@,NOP
75,75,2019-03-26,@,MIL
76,76,2019-03-28,,DEN
77,77,2019-03-30,,SAC
78,78,2019-04-02,@,SAC
79,79,2019-04-03,@,LAC
80,80,2019-04-05,,NYK
81,81,2019-04-07,,PHO
82,82,2019-04-09,@,OKC
