Rk,G,Date, ,Opp
1,1,2018-10-16,,OKC
2,2,2018-10-19,@,UTA
3,3,2018-10-21,@,DEN
4,4,2018-10-22,,PHO
5,5,2018-10-24,,WAS
6,6,2018-10-26,@,NYK
7,7,2018-10-28,@,BRK
8,8,2018-10-29,@,CHI
9,9,2018-10-31,,NOP
10,10,2018-11-02,,MIN
11,11,2018-11-05,,MEM
12,12,2018-11-08,,MIL
13,13,2018-11-10,,BRK
14,14,2018-11-12,@,LAC
15,15,2018-11-13,,ATL
16,16,2018-11-15,@,HOU
17,17,2018-11-17,@,DAL
18,18,2018-11-18,@,SAS
19,19,2018-11-21,,OKC
20,20,2018-11-23,,POR
21,21,2018-11-24,,SAC
22,22,2018-11-26,,ORL
23,23,2018-11-29,@,TOR
24,24,2018-12-01,@,DET
25,25,2018-12-03,@,ATL
26,26,2018-12-05,@,CLE
27,27,2018-12-07,@,MIL
28,28,2018-12-10,,MIN
29,29,2018-12-12,,TOR
30,30,2018-12-14,@,SAC
31,31,2018-12-17,,MEM
32,32,2018-12-19,@,UTA
33,33,2018-12-22,,DAL
34,34,2018-12-23,,LAC
35,35,2018-12-25,,LAL
36,36,2018-12-27,,POR
37,37,2018-12-29,@,POR
38,38,2018-12-31,@,PHO
39,39,2019-01-03,,HOU
40,40,2019-01-05,@,SAC
41,41,2019-01-08,,NYK
42,42,2019-01-11,,CHI
43,43,2019-01-13,@,DAL
44,44,2019-01-15,@,DEN
45,45,2019-01-16,,NOP
46,46,2019-01-18,@,LAC
47,47,2019-01-21,@,LAL
48,48,2019-01-24,@,WAS
49,49,2019-01-26,@,BOS
50,50,2019-01-28,@,IND
51,51,2019-01-31,,PHI
52,52,2019-02-02,,LAL
53,53,2019-02-06,,SAS
54,54,2019-02-08,@,PHO
55,55,2019-02-10,,MIA
56,56,2019-02-12,,UTA
57,57,2019-02-13,@,POR
58,58,2019-02-21,,SAC
59,59,2019-02-23,,HOU
60,60,2019-02-25,@,CHO
61,61,2019-02-27,@,MIA
62,62,2019-02-28,@,ORL
63,63,2019-03-02,@,PHI
64,64,2019-03-05,,BOS
65,65,2019-03-08,,DEN
66,66,2019-03-10,,PHO
67,67,2019-03-13,@,HOU
68,68,2019-03-16,@,OKC
69,69,2019-03-18,@,SAS
70,70,2019-03-19,@,MIN
71,71,2019-03-21,,IND
72,72,2019-03-23,,DAL
73,73,2019-03-24,,DET
74,74,2019-03-27,@,MEM
75,75,2019-03-29,@,MIN
76,76,2019-03-31,,CHO
77,77,2019-04-02,,DEN
78,78,2019-04-04,@,LAL
79,79,2019-04-05,,CLE
80,80,2019-04-07,,LAC
81,81,2019-04-09,@,NOP
82,82,2019-04-10,@,MEM
